Gene stable ID	Gene stable ID version	NCBI gene ID	HGNC symbol
ENSG00000227933	ENSG00000227933.1		
ENSG00000128228	ENSG00000128228.4	23753	SDF2L1
ENSG00000102349	ENSG00000102349.17	11279	KLF8
ENSG00000107140	ENSG00000107140.15	7016	TESK1
ENSG00000240960	ENSG00000240960.1		
ENSG00000250516	ENSG00000250516.1		
ENSG00000259474	ENSG00000259474.1		
ENSG00000236867	ENSG00000236867.1		
ENSG00000261814	ENSG00000261814.1		HLA-P
ENSG00000226955	ENSG00000226955.1		
ENSG00000148965	ENSG00000148965.9	6291	SAA4
ENSG00000231552	ENSG00000231552.1		IGBP1P3
ENSG00000176998	ENSG00000176998.4		HCG4
ENSG00000237676	ENSG00000237676.1		RPL30P4
ENSG00000238141	ENSG00000238141.2	100874093	BRWD1-AS1
ENSG00000253308	ENSG00000253308.2		
ENSG00000206418	ENSG00000206418.3	201475	RAB12
ENSG00000281189	ENSG00000281189.1	102723099	GHET1
ENSG00000226414	ENSG00000226414.1		MTCYBP38
ENSG00000230785	ENSG00000230785.2		
ENSG00000232608	ENSG00000232608.1		TIMM9P2
ENSG00000259446	ENSG00000259446.5	101928134	
ENSG00000272991	ENSG00000272991.1		
ENSG00000254642	ENSG00000254642.1		COX6CP5
ENSG00000170262	ENSG00000170262.12	56246	MRAP
ENSG00000271216	ENSG00000271216.1	103689845	LINC01050
ENSG00000229623	ENSG00000229623.1		METTL21AP1
ENSG00000175390	ENSG00000175390.13	8665	EIF3F
ENSG00000261548	ENSG00000261548.1		HLA-P
ENSG00000227646	ENSG00000227646.7	100874100	STEAP2-AS1
ENSG00000230605	ENSG00000230605.1		MTCYBP6
ENSG00000226558	ENSG00000226558.1		
ENSG00000224042	ENSG00000224042.2		MTND4P6
ENSG00000220614	ENSG00000220614.1		
ENSG00000226915	ENSG00000226915.1		
ENSG00000179157	ENSG00000179157.4		RPS2P28
ENSG00000229546	ENSG00000229546.1		LINC00428
ENSG00000253457	ENSG00000253457.2	100507341	SMIM18
ENSG00000185658	ENSG00000185658.13	54014	BRWD1
ENSG00000164647	ENSG00000164647.8	26872	STEAP1
ENSG00000205730	ENSG00000205730.6	162073	ITPRIPL2
ENSG00000271435	ENSG00000271435.1		
ENSG00000240731	ENSG00000240731.1		
ENSG00000219222	ENSG00000219222.1		RPL12P47
ENSG00000227030	ENSG00000227030.2		RPL7AP7
ENSG00000250264	ENSG00000250264.1		
ENSG00000224352	ENSG00000224352.1		
ENSG00000226589	ENSG00000226589.9	7407	VARS
ENSG00000205221	ENSG00000205221.12	5212	VIT
ENSG00000171467	ENSG00000171467.15	24149	ZNF318
ENSG00000183631	ENSG00000183631.4	100130613	PRR32
ENSG00000253405	ENSG00000253405.1	101410536	EVX1-AS
ENSG00000277880	ENSG00000277880.1		TRBV17
ENSG00000231785	ENSG00000231785.1		MICC
ENSG00000241106	ENSG00000241106.6	3112	HLA-DOB
ENSG00000213880	ENSG00000213880.3		RPL7AP7
ENSG00000197265	ENSG00000197265.8	2961	GTF2E2
ENSG00000276557	ENSG00000276557.1		TRBV18
ENSG00000106038	ENSG00000106038.12	2128	EVX1
ENSG00000127054	ENSG00000127054.20	54973	INTS11
ENSG00000258115	ENSG00000258115.1		
ENSG00000266708	ENSG00000266708.1		
ENSG00000257287	ENSG00000257287.1		
ENSG00000229647	ENSG00000229647.1	105373853	MYOSLID
ENSG00000225763	ENSG00000225763.1		MICG
ENSG00000211746	ENSG00000211746.3		TRBV19
ENSG00000257723	ENSG00000257723.1		CHCHD3P2
ENSG00000243491	ENSG00000243491.1		
ENSG00000230538	ENSG00000230538.1		
ENSG00000279566	ENSG00000279566.1	7594	ZNF43
ENSG00000213352	ENSG00000213352.3		GAPDHP44
ENSG00000155660	ENSG00000155660.10	9601	PDIA4
ENSG00000111110	ENSG00000111110.11	57460	PPM1H
ENSG00000257366	ENSG00000257366.1		
ENSG00000144401	ENSG00000144401.14	151194	METTL21A
ENSG00000131548	ENSG00000131548.7	441543	TTTY6B
ENSG00000232623	ENSG00000232623.1		
ENSG00000236951	ENSG00000236951.5	102725532	
ENSG00000277518	ENSG00000277518.3	4588	MUC6
ENSG00000226861	ENSG00000226861.1		
ENSG00000170989	ENSG00000170989.8	1901	S1PR1
ENSG00000125818	ENSG00000125818.17	9491	PSMF1
ENSG00000228995	ENSG00000228995.1		MTND1P9
ENSG00000142207	ENSG00000142207.6	9875	URB1
ENSG00000256222	ENSG00000256222.2	100462983	MTRNR2L3
ENSG00000112812	ENSG00000112812.15	10279	PRSS16
ENSG00000281734	ENSG00000281734.1		
ENSG00000101146	ENSG00000101146.12	8480	RAE1
ENSG00000255328	ENSG00000255328.1		
ENSG00000270105	ENSG00000270105.1		
ENSG00000251661	ENSG00000251661.3		
ENSG00000197870	ENSG00000197870.12	5544	PRB3
ENSG00000270030	ENSG00000270030.1		
ENSG00000142089	ENSG00000142089.15	10410	IFITM3
ENSG00000002586	ENSG00000002586.18	4267	CD99
ENSG00000224675	ENSG00000224675.1		
ENSG00000272516	ENSG00000272516.1		
ENSG00000230251	ENSG00000230251.1		PHBP4
ENSG00000271981	ENSG00000271981.1		
ENSG00000162992	ENSG00000162992.3	4760	NEUROD1
ENSG00000237042	ENSG00000237042.1		MICG
ENSG00000236264	ENSG00000236264.4		RPL26P30
ENSG00000144278	ENSG00000144278.14	114805	GALNT13
ENSG00000248635	ENSG00000248635.1		
ENSG00000238184	ENSG00000238184.1	101927682	CD81-AS1
ENSG00000272366	ENSG00000272366.1		
ENSG00000018610	ENSG00000018610.13	63932	CXorf56
ENSG00000239995	ENSG00000239995.2		TPT1P11
ENSG00000237051	ENSG00000237051.8	2550	GABBR1
ENSG00000279956	ENSG00000279956.1		
ENSG00000237464	ENSG00000237464.1		
ENSG00000250376	ENSG00000250376.1		
ENSG00000249754	ENSG00000249754.2		NDUFB4P9
ENSG00000255089	ENSG00000255089.1		
ENSG00000226401	ENSG00000226401.3		
ENSG00000196951	ENSG00000196951.10	100129858	SCOC-AS1
ENSG00000110651	ENSG00000110651.11	975	CD81
ENSG00000226411	ENSG00000226411.1		
ENSG00000242441	ENSG00000242441.7	11036	GTF2A1L
ENSG00000241941	ENSG00000241941.2		RPL32P26
ENSG00000115232	ENSG00000115232.13	3676	ITGA4
ENSG00000242285	ENSG00000242285.1		RPL6P8
ENSG00000100023	ENSG00000100023.18	23759	PPIL2
ENSG00000230657	ENSG00000230657.6	5545	PRB4
ENSG00000179674	ENSG00000179674.3	80117	ARL14
ENSG00000232825	ENSG00000232825.1	100129620	
ENSG00000117598	ENSG00000117598.11	163404	PLPPR5
ENSG00000169877	ENSG00000169877.9	51327	AHSP
ENSG00000253112	ENSG00000253112.1		
ENSG00000146215	ENSG00000146215.13	401262	CRIP3
ENSG00000257681	ENSG00000257681.1		
ENSG00000174697	ENSG00000174697.4	3952	LEP
ENSG00000257766	ENSG00000257766.1		
ENSG00000073910	ENSG00000073910.20	10129	FRY
ENSG00000233056	ENSG00000233056.2		ERVH48-1
ENSG00000232306	ENSG00000232306.2		
ENSG00000257737	ENSG00000257737.1		
ENSG00000225057	ENSG00000225057.2		
ENSG00000117115	ENSG00000117115.12	11240	PADI2
ENSG00000136011	ENSG00000136011.14	55576	STAB2
ENSG00000132326	ENSG00000132326.11	8864	PER2
ENSG00000136718	ENSG00000136718.9	92856	IMP4
ENSG00000224100	ENSG00000224100.1		
ENSG00000249896	ENSG00000249896.2		LINC02495
ENSG00000271466	ENSG00000271466.1		CICP24
ENSG00000273402	ENSG00000273402.1		
ENSG00000251408	ENSG00000251408.1		
ENSG00000272812	ENSG00000272812.1		
ENSG00000260572	ENSG00000260572.1		
ENSG00000281610	ENSG00000281610.1		HSP90AA4P
ENSG00000139574	ENSG00000139574.8	8620	NPFF
ENSG00000272915	ENSG00000272915.1		
ENSG00000280513	ENSG00000280513.1	101928971	
ENSG00000259395	ENSG00000259395.1		
ENSG00000280853	ENSG00000280853.1		
ENSG00000259737	ENSG00000259737.6		
ENSG00000251236	ENSG00000251236.1		
ENSG00000257550	ENSG00000257550.1	100652999	
ENSG00000227034	ENSG00000227034.1		
ENSG00000281377	ENSG00000281377.1	105377617	
ENSG00000281787	ENSG00000281787.1		FRG1-DT
ENSG00000255790	ENSG00000255790.5	440084	
ENSG00000250756	ENSG00000250756.1		
ENSG00000259947	ENSG00000259947.1	105371048	LINC02124
ENSG00000270500	ENSG00000270500.1		COX6CP4
ENSG00000143420	ENSG00000143420.18	2029	ENSA
ENSG00000273954	ENSG00000273954.1		LINC01194
ENSG00000231952	ENSG00000231952.3		DPY19L1P2
ENSG00000215595	ENSG00000215595.1	400831	C20orf202
ENSG00000162040	ENSG00000162040.6	64711	HS3ST6
ENSG00000230299	ENSG00000230299.1		
ENSG00000281703	ENSG00000281703.1		
ENSG00000278019	ENSG00000278019.2		
ENSG00000152284	ENSG00000152284.4	83439	TCF7L1
ENSG00000280638	ENSG00000280638.1		CDH12P2
ENSG00000133104	ENSG00000133104.12	23111	SPART
ENSG00000223587	ENSG00000223587.1		LINC01986
ENSG00000237303	ENSG00000237303.2		HIGD1AP8
ENSG00000251655	ENSG00000251655.6	5542	PRB1
ENSG00000215388	ENSG00000215388.3		ACTG1P3
ENSG00000224918	ENSG00000224918.1		
ENSG00000125895	ENSG00000125895.5	55321	TMEM74B
ENSG00000254037	ENSG00000254037.2		
ENSG00000109181	ENSG00000109181.11	7365	UGT2B10
ENSG00000244257	ENSG00000244257.5		PKD1P1
ENSG00000276026	ENSG00000276026.1	105372493	
ENSG00000165621	ENSG00000165621.8	27199	OXGR1
ENSG00000277429	ENSG00000277429.4	8293	SERF1B
ENSG00000277429	ENSG00000277429.4	728492	SERF1B
ENSG00000274269	ENSG00000274269.1		
ENSG00000225064	ENSG00000225064.1		LINC01802
ENSG00000248571	ENSG00000248571.1		
ENSG00000170006	ENSG00000170006.11	201799	TMEM154
ENSG00000118260	ENSG00000118260.14	1385	CREB1
ENSG00000231983	ENSG00000231983.1		LINC00415
ENSG00000256116	ENSG00000256116.1		
ENSG00000175793	ENSG00000175793.11	2810	SFN
ENSG00000260940	ENSG00000260940.1		
ENSG00000235009	ENSG00000235009.1	100996902	LINC01883
ENSG00000110011	ENSG00000110011.13	3338	DNAJC4
ENSG00000228399	ENSG00000228399.1		
ENSG00000198176	ENSG00000198176.12	7027	TFDP1
ENSG00000173810	ENSG00000173810.9		PPIAP7
ENSG00000183889	ENSG00000183889.12	100288332	
ENSG00000231367	ENSG00000231367.5		
ENSG00000224747	ENSG00000224747.1		MTCYBP21
ENSG00000237068	ENSG00000237068.1		RPL5P2
ENSG00000278654	ENSG00000278654.1		
ENSG00000282735	ENSG00000282735.1	9710	KIAA0355
ENSG00000283635	ENSG00000283635.1		
ENSG00000121335	ENSG00000121335.11	653247	PRB2
ENSG00000258722	ENSG00000258722.2		CKAP2P1
ENSG00000144485	ENSG00000144485.10	55502	HES6
ENSG00000178107	ENSG00000178107.2		
ENSG00000101446	ENSG00000101446.7	10816	SPINT3
ENSG00000226698	ENSG00000226698.1		
ENSG00000277368	ENSG00000277368.1		
ENSG00000142751	ENSG00000142751.14	54707	GPN2
ENSG00000213553	ENSG00000213553.4		RPLP0P6
ENSG00000127870	ENSG00000127870.16	6049	RNF6
ENSG00000169327	ENSG00000169327.5	390445	OR5AU1
ENSG00000231671	ENSG00000231671.1	104355286	LINC01307
ENSG00000229002	ENSG00000229002.1		
ENSG00000279782	ENSG00000279782.1	728945	PPIAL4F
ENSG00000282746	ENSG00000282746.1		
ENSG00000231134	ENSG00000231134.1	100874334	TCF7L1-IT1
ENSG00000227397	ENSG00000227397.1		
ENSG00000280275	ENSG00000280275.1		
ENSG00000236574	ENSG00000236574.1		
ENSG00000274631	ENSG00000274631.1		
ENSG00000183298	ENSG00000183298.5		RPSAP19
ENSG00000249148	ENSG00000249148.2		
ENSG00000188021	ENSG00000188021.8	29978	UBQLN2
ENSG00000226715	ENSG00000226715.2		LINC01709
ENSG00000159261	ENSG00000159261.10	23562	CLDN14
ENSG00000260683	ENSG00000260683.1		
ENSG00000225451	ENSG00000225451.1		
ENSG00000235274	ENSG00000235274.1		
ENSG00000230105	ENSG00000230105.1		
ENSG00000225512	ENSG00000225512.1		
ENSG00000242209	ENSG00000242209.1		
ENSG00000231243	ENSG00000231243.1		
ENSG00000267412	ENSG00000267412.1		
ENSG00000223431	ENSG00000223431.1		MTND6P21
ENSG00000236625	ENSG00000236625.8	721	C4B
ENSG00000267749	ENSG00000267749.1		
ENSG00000224548	ENSG00000224548.1		
ENSG00000227999	ENSG00000227999.1		MTND5P1
ENSG00000176533	ENSG00000176533.12	2788	GNG7
ENSG00000273484	ENSG00000273484.1		OR6R2P
ENSG00000250634	ENSG00000250634.5	101929071	LINC01182
ENSG00000138039	ENSG00000138039.14	3973	LHCGR
ENSG00000274225	ENSG00000274225.1		
ENSG00000261497	ENSG00000261497.1		
ENSG00000228709	ENSG00000228709.1		LINC02575
ENSG00000250497	ENSG00000250497.1		
ENSG00000162699	ENSG00000162699.5		DNAJA1P5
ENSG00000277352	ENSG00000277352.1		
ENSG00000272076	ENSG00000272076.1		
ENSG00000123165	ENSG00000123165.8	139741	ACTRT1
ENSG00000118733	ENSG00000118733.16	118427	OLFM3
ENSG00000237334	ENSG00000237334.1		HLA-Z
ENSG00000260084	ENSG00000260084.1		
ENSG00000276076	ENSG00000276076.4	102724652	
ENSG00000134440	ENSG00000134440.11	4677	NARS
ENSG00000184939	ENSG00000184939.15	146198	ZFP90
ENSG00000251424	ENSG00000251424.1		
ENSG00000279365	ENSG00000279365.1		
ENSG00000267214	ENSG00000267214.1		
ENSG00000223741	ENSG00000223741.1		PSMD4P1
ENSG00000276097	ENSG00000276097.1		
ENSG00000257237	ENSG00000257237.1		
ENSG00000276231	ENSG00000276231.4	146850	PIK3R6
ENSG00000105694	ENSG00000105694.3		ELOCP28
ENSG00000188452	ENSG00000188452.13	375298	CERKL
ENSG00000233818	ENSG00000233818.1		
ENSG00000147050	ENSG00000147050.14	7403	KDM6A
ENSG00000258144	ENSG00000258144.1		LINC02406
